Eduardo Frei Montalva,Salvador Allende,Augusto Pinochet,Patricio Aylwin,Eduardo Frei Ruiz-Tagle,Ricardo Lagos,Michelle Bachelet (2006-2010),Sebastián Piñera (2010-2014),Michelle Bachelet (2014-2018),Sebastián Piñera (2018-2022),Gabriel Boric,ID
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,1,1,3
1,1,1,1,1,1,1,1,1,1,1,4
1,1,1,1,1,1,1,1,1,1,1,5
1,1,1,1,1,1,1,1,1,1,1,6
1,1,1,1,1,1,1,1,1,1,1,7
1,1,1,1,1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,1,1,1,1,9
1,1,1,1,1,1,1,1,1,1,1,10
1,1,1,1,1,1,1,1,1,1,1,11
1,1,1,1,1,1,1,1,1,1,1,12
1,1,1,2,1,1,1,1,1,1,1,13
1,1,1,2,1,1,1,1,1,1,1,14
1,1,1,2,1,1,1,1,1,1,1,15
1,1,1,2,1,1,1,1,1,1,1,16
1,1,1,2,1,1,1,1,1,1,1,17
1,1,1,2,1,1,1,1,1,1,1,18
2,1,1,2,1,1,1,1,1,1,1,19
2,1,1,2,1,1,1,1,1,1,1,20
2,1,1,2,1,1,1,1,1,1,1,21
2,1,1,2,1,1,1,1,1,1,1,22
2,1,1,2,1,1,1,1,1,1,1,23
2,1,1,2,1,1,1,1,1,1,1,24
3,1,1,3,1,1,1,1,1,1,1,25
3,1,1,3,1,1,1,1,1,1,1,26
3,1,1,3,1,1,1,1,1,1,1,27
3,1,1,3,1,1,1,1,1,1,1,28
3,1,1,3,1,1,1,1,1,1,1,29
3,1,1,3,2,1,1,1,1,1,1,30
3,1,1,3,2,1,1,2,1,1,1,31
3,1,1,3,2,1,1,2,1,1,1,32
3,1,1,3,2,1,1,2,1,1,1,33
3,1,1,3,2,1,1,2,1,1,1,34
3,1,1,3,2,1,1,2,1,1,1,35
3,1,1,3,2,2,1,2,1,1,1,36
3,1,1,3,2,2,1,2,1,1,1,37
3,1,1,3,2,2,1,2,1,1,1,38
3,1,1,3,2,2,1,2,1,1,1,39
3,1,1,3,2,2,1,2,1,1,1,40
3,1,1,3,2,2,1,2,1,1,1,41
3,1,1,3,2,2,1,2,1,1,1,42
3,1,1,3,2,2,1,2,1,1,1,43
3,1,1,3,2,2,1,2,1,1,1,44
3,1,1,3,2,2,1,2,1,1,1,45
3,1,1,3,2,2,1,2,1,1,1,46
3,1,1,3,2,2,1,2,1,1,1,47
3,1,1,3,2,2,1,2,1,1,1,48
3,1,1,3,2,2,1,2,1,1,1,49
3,1,1,3,2,2,1,2,1,1,1,50
3,1,1,3,2,2,1,2,1,1,1,51
3,1,1,3,2,2,1,2,1,1,1,52
3,1,1,3,2,2,1,2,1,1,1,53
3,1,1,3,2,2,1,2,1,1,1,54
3,1,1,3,2,2,1,2,1,2,1,55
3,1,1,3,2,2,1,2,1,2,1,56
3,1,1,3,2,2,1,2,1,2,1,57
3,1,1,3,2,2,1,2,1,2,1,58
3,1,1,3,3,2,1,2,1,2,1,59
3,1,1,3,3,2,2,2,1,2,1,60
3,1,1,3,3,2,2,2,1,2,1,61
3,1,1,3,3,2,2,2,1,2,1,62
3,1,1,3,3,2,2,2,1,2,1,63
3,1,1,3,3,2,2,2,1,2,1,64
3,1,1,3,3,2,2,2,1,2,1,65
3,1,1,3,3,2,2,2,1,2,1,66
3,1,1,3,3,2,2,3,1,2,1,67
3,1,1,3,3,2,2,3,1,2,1,68
3,1,1,3,3,2,2,3,1,2,1,69
3,1,1,3,3,2,2,3,1,2,1,70
3,1,1,3,3,3,2,3,1,2,1,71
3,1,1,3,3,3,2,3,1,2,1,72
3,1,1,3,3,3,2,3,1,2,1,73
3,1,1,3,3,3,2,3,1,2,1,74
3,1,1,3,3,3,2,3,1,2,1,75
3,1,1,3,3,3,2,3,1,2,1,76
3,1,1,3,3,3,2,3,1,2,1,77
3,1,1,3,3,3,2,3,1,2,1,78
3,1,1,3,3,3,2,3,1,2,1,79
3,1,1,3,3,3,2,3,1,2,1,80
3,1,1,3,3,3,2,3,1,2,1,81
3,1,1,3,3,3,2,3,1,2,1,82
3,1,1,3,3,3,2,3,1,2,1,83
3,1,1,3,3,3,2,3,1,2,1,84
3,1,1,4,3,3,2,3,1,2,1,85
3,1,1,4,3,3,2,3,1,2,1,86
3,1,1,4,3,3,2,3,1,2,1,87
3,1,1,4,3,3,2,3,1,2,1,88
3,1,1,4,3,3,2,3,1,2,1,89
3,1,1,4,3,3,2,3,1,2,1,90
4,1,1,4,3,3,2,3,1,2,1,91
4,1,1,4,3,3,2,3,1,2,1,92
4,1,1,4,3,3,2,3,1,2,1,93
4,1,1,4,3,3,2,3,1,2,1,94
4,1,1,4,3,3,2,3,1,2,1,95
4,1,1,4,3,3,2,3,1,2,1,96
4,1,1,4,3,3,2,3,1,2,1,97
4,1,1,4,3,3,2,3,1,2,1,98
4,1,1,4,3,3,2,3,1,2,1,99
4,1,1,4,3,3,2,3,1,2,1,100
4,1,1,4,3,3,2,3,1,2,1,101
4,1,1,4,3,3,2,3,1,2,1,102
4,1,1,4,3,3,2,3,1,2,1,103
4,1,1,4,3,3,2,3,1,2,1,104
4,1,1,4,3,3,2,3,1,2,1,105
4,1,1,4,3,3,2,3,1,2,1,106
4,1,1,4,3,3,2,3,1,2,1,107
4,1,1,4,3,3,2,3,1,2,1,108
4,1,1,4,3,3,2,3,2,3,1,109
4,1,1,4,3,3,2,3,2,3,1,110
4,1,1,4,3,3,2,3,2,3,1,111
4,1,1,4,3,3,2,3,2,3,1,112
4,1,1,4,3,3,3,3,2,3,1,113
4,1,1,4,3,3,3,3,2,3,1,114
4,1,1,4,3,3,3,4,2,3,1,115
4,1,1,4,3,3,3,4,2,3,1,116
