Jorge Alessandri,Eduardo Frei Montalva,Salvador Allende,Augusto Pinochet,Patricio Aylwin,Eduardo Frei Ruiz-Tagle,Ricardo Lagos,Michelle Bachelet (2006-2010),Sebastián Piñera (2010-2014),Michelle Bachelet (2014-2018),Sebastián Piñera (2018-2022),Gabriel Boric,ID
2,4,2,4,4,6,3,3,4,4,5,6,1
1,2,1,1,4,2,2,2,2,5,3,4,2
3,5,5,7,2,4,6,3,3,6,7,7,3
4,3,2,7,2,3,5,7,5,4,3,3,4
3,4,6,7,4,5,4,4,5,4,2,4,5
2,4,2,3,1,4,2,2,1,7,6,7,6
1,6,2,3,3,3,2,5,5,3,4,2,7
3,3,2,5,3,4,7,4,4,2,6,4,8
3,4,3,6,3,4,6,6,3,3,3,2,9
4,3,2,7,3,4,3,2,5,6,4,3,10
2,4,5,3,1,2,3,4,2,3,7,3,11
4,2,3,1,2,5,3,4,5,7,5,4,12
6,3,2,3,2,5,3,4,4,2,5,3,13
4,2,2,3,3,3,3,3,4,4,6,5,14
4,3,1,1,3,3,4,6,3,4,7,3,15
2,3,5,7,3,1,3,2,3,6,4,5,16
3,4,2,3,2,7,3,4,2,7,3,5,17
4,2,2,6,5,3,2,7,5,6,7,7,18
3,3,2,2,4,4,3,6,2,2,3,4,19
3,6,2,5,3,4,3,3,1,7,3,3,20
3,3,6,3,4,1,2,7,7,2,7,4,21
3,5,2,1,4,2,4,2,3,3,6,2,22
3,3,2,7,2,5,4,2,4,2,5,4,23
4,2,5,6,3,3,3,6,2,5,3,6,24
3,3,2,2,5,4,3,3,5,4,3,1,25
4,6,3,1,3,3,6,4,2,3,6,3,26
2,4,1,1,4,2,6,2,4,2,1,7,27
5,3,5,3,4,3,2,4,2,7,4,4,28
3,3,2,5,3,3,6,2,7,3,4,7,29
7,3,2,2,2,6,2,6,4,3,4,2,30
3,2,4,6,3,2,2,4,4,3,5,4,31
3,2,2,6,3,5,3,2,7,5,7,2,32
4,7,1,3,2,5,6,7,4,2,4,2,33
4,4,4,6,4,5,4,3,2,3,2,3,34
4,4,2,5,1,3,2,1,4,4,4,3,35
1,1,2,2,4,3,3,3,2,4,4,4,36
3,3,5,1,2,3,3,2,2,5,5,5,37
3,4,4,7,5,4,4,5,5,3,2,4,38
6,3,3,7,7,4,3,4,1,5,3,4,39
3,3,5,1,3,3,4,2,2,7,5,3,40
4,3,2,5,3,2,6,2,6,3,6,2,41
3,5,5,6,2,5,7,2,6,3,6,1,42
2,4,1,2,2,4,7,3,2,1,6,2,43
3,4,2,6,3,3,5,1,3,4,5,5,44
4,2,4,7,3,2,1,3,3,3,5,4,45
